,SalePrice,OverallQual,GrLivArea,BsmtQual_Ex,BsmtFinSF1,RoofMatl_ClyTile,YearBuilt,MSSubClass,Condition2_PosN,KitchenQual_Ex,BsmtExposure_Gd,OverallCond,SaleType_New,Neighborhood_NoRidge,LotArea,BedroomAbvGr,Neighborhood_NridgHt,Neighborhood_StoneBr,Neighborhood_Crawfor,GarageArea,RoofMatl_WdShngl,ExterQual_Ex,Functional_Typ,Neighborhood_Somerst,PoolQC_Ex,SaleCondition_Normal,Condition1_Norm,Exterior1st_BrkFace,BsmtExposure_Av,HeatingQC_Ex,Neighborhood_BrkSide,LotConfig_CulDSac,BldgType_2fmCon,Fireplaces,LowQualFinSF,KitchenAbvGr,MasVnrArea,PoolQC_Gd,Functional_Sev,Foundation_PConc,BsmtFinSF2,BsmtUnfSF,LandSlope_Sev,Neighborhood_Mitchel,Street_Grvl,Street_Pave,GarageType_No garage,GarageQual_No garage,TotRmsAbvGrd,ScreenPorch,MasVnrType_None,FireplaceQu_No FireplaceQu,WoodDeckSF,GarageQual_Ex,Condition2_PosA,RoofMatl_Membran,Condition1_RRAe,Fence_GdPrv,YearRemodAdd
0,208500,7,1710,0,706,0,2003,60,0,0,0,5,0,0,8450,3,0,0,0,548,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,196.0,0,0,1,0,150,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,2003
1,181500,6,1262,0,978,0,1976,20,0,0,1,8,0,0,9600,3,0,0,0,460,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0.0,0,0,0,0,284,0,0,0,1,0,0,6,0,1,0,298,0,0,0,0,0,1976
2,223500,7,1786,0,486,0,2001,60,0,0,0,5,0,0,11250,3,0,0,0,608,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,162.0,0,0,1,0,434,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2002
3,140000,7,1717,0,216,0,1915,70,0,0,0,5,0,0,9550,3,0,0,1,642,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,540,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,1970
4,250000,8,2198,0,655,0,2000,60,0,0,0,5,0,1,14260,4,0,0,0,836,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,350.0,0,0,1,0,490,0,0,0,1,0,0,9,0,0,0,192,0,0,0,0,0,2000
5,143000,5,1362,0,732,0,1993,50,0,0,0,5,0,0,14115,1,0,0,0,480,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0,64,0,1,0,1,0,0,5,0,1,1,40,0,0,0,0,0,1995
6,307000,8,1694,1,1369,0,2004,20,0,0,0,5,0,0,10084,3,0,0,0,636,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,186.0,0,0,1,0,317,0,0,0,1,0,0,7,0,0,0,255,0,0,0,0,0,2005
7,200000,7,2090,0,859,0,1973,60,0,0,0,6,0,0,10382,3,0,0,0,484,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,1,240.0,0,0,0,32,216,0,0,0,1,0,0,7,0,0,0,235,0,0,0,0,0,1973
8,129900,7,1774,0,0,0,1931,50,0,0,0,5,0,0,6120,2,0,0,0,468,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0.0,0,0,0,0,952,0,0,0,1,0,0,8,0,1,0,90,0,0,0,0,0,1950
9,118000,5,1077,0,851,0,1939,190,0,0,0,6,0,0,7420,2,0,0,0,205,0,0,1,0,0,1,0,0,0,1,1,0,1,2,0,2,0.0,0,0,0,0,140,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1950
