,SalePrice,OverallQual,GrLivArea,YearBuilt,OverallCond,1stFlrSF,RoofMatl_ClyTile,BsmtFinSF1,GarageArea,Condition2_PosN,BldgType_1Fam,Neighborhood_Crawfor,MSZoning_C (all),LotArea,SaleType_New,SaleCondition_Normal,Foundation_PConc,MSZoning_RM,Fireplaces,KitchenQual_Ex,Functional_Typ,Condition1_Norm,BsmtExposure_No basement,BsmtExposure_Gd,HeatingQC_Ex,ScreenPorch,Heating_Grav,Neighborhood_StoneBr,Neighborhood_NridgHt,Exterior1st_BrkFace,YearRemodAdd,WoodDeckSF,Neighborhood_MeadowV,Neighborhood_Somerst,BsmtFullBath,Neighborhood_Edwards,Functional_Maj2,LotConfig_CulDSac,CentralAir_N,CentralAir_Y,Heating_GasW,BldgType_Twnhs,PoolQC_Gd,Functional_Sev,Neighborhood_BrkSide,Exterior1st_BrkComm,GarageType_Attchd,Neighborhood_Mitchel,LandSlope_Sev,Neighborhood_ClearCr,BsmtQual_Ex,EnclosedPorch,SaleType_ConLD,Condition2_PosA,RoofMatl_Membran,Functional_Mod,BsmtUnfSF,BsmtFinSF2,Condition1_RRAe,Foundation_Stone,Fence_GdWo,Exterior1st_MetalSd,GarageType_2Types,ExterCond_TA,RoofMatl_CompShg,BsmtCond_Po
0,208500,7,1710,2003,5,856,0,706,548,0,1,0,0,8450,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,1,1,0
1,181500,6,1262,1976,8,1262,0,978,460,0,1,0,0,9600,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1976,298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,284,0,0,0,0,1,0,1,1,0
2,223500,7,1786,2001,5,920,0,486,608,0,1,0,0,11250,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,2002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,1,1,0
3,140000,7,1717,1915,5,961,0,216,642,0,1,1,0,9550,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1970,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,540,0,0,0,0,0,0,1,1,0
4,250000,8,2198,2000,5,1145,0,655,836,0,1,0,0,14260,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,2000,192,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,1,1,0
5,143000,5,1362,1993,5,796,0,732,480,0,1,0,0,14115,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1995,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,1,1,0
6,307000,8,1694,2004,5,1694,0,1369,636,0,1,0,0,10084,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,2005,255,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,317,0,0,0,0,0,0,1,1,0
7,200000,7,2090,1973,6,1107,0,859,484,0,1,0,0,10382,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1973,235,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,228,0,0,0,0,216,32,0,0,0,0,0,1,1,0
8,129900,7,1774,1931,5,1022,0,0,468,0,1,0,0,6120,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1950,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,952,0,0,0,0,0,0,1,1,0
9,118000,5,1077,1939,6,1077,0,851,205,0,0,0,0,7420,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1950,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,140,0,0,0,0,1,0,1,1,0
10,129500,5,1040,1965,5,1040,0,906,384,0,1,0,0,11200,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1965,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,1,1,0
11,345000,9,2324,2005,5,1182,0,998,736,0,1,0,0,11924,1,0,1,0,2,1,1,1,0,0,1,0,0,0,1,0,2006,147,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,177,0,0,0,0,0,0,1,1,0
12,144000,5,912,1962,6,912,0,737,352,0,1,0,0,12968,0,1,0,0,0,0,1,1,0,0,0,176,0,0,0,0,1962,140,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,1,1,0
13,279500,7,1494,2006,5,1494,0,0,840,0,1,0,0,10652,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,2007,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1494,0,0,0,0,0,0,1,1,0
14,157000,6,1253,1960,5,1253,0,733,352,0,1,0,0,10920,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1960,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,176,0,0,0,0,520,0,0,0,1,1,0,1,1,0
15,132000,7,854,1929,8,854,0,0,576,0,1,0,0,6120,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2001,48,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,1,1,0
16,149000,6,1004,1970,7,1004,0,578,480,0,1,0,0,11241,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1970,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,1,1,0
17,90000,4,1296,1967,5,1296,0,0,516,0,0,0,0,10791,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
